DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/14/2015 5:00,Overcast,0,28.76,28.76,none
1/14/2015 6:00,Overcast,0,28.37,28.37,none
1/14/2015 7:00,Overcast,0,28.07,28.07,none
1/14/2015 8:00,Overcast,0,28.05,28.05,none
1/14/2015 9:00,Overcast,0,28.19,28.19,none
1/14/2015 10:00,Overcast,0,29.02,29.02,none
1/14/2015 11:00,Overcast,0,29.79,29.79,none
1/14/2015 12:00,Overcast,0,30.47,30.47,none
1/14/2015 13:00,Overcast,0.0002,31.16,31.16,snow
1/14/2015 14:00,Overcast,0,31.82,31.82,none
1/14/2015 15:00,Overcast,0.0007,32.36,32.36,snow
1/14/2015 16:00,Overcast,0,32.68,32.68,none
1/14/2015 17:00,Overcast,0,32.77,32.77,none
1/14/2015 18:00,Overcast,0,32.66,32.66,none
1/14/2015 19:00,Overcast,0,32.69,32.69,none
1/14/2015 20:00,Overcast,0,32.72,32.72,none
1/14/2015 21:00,Overcast,0,32.81,32.81,none
1/14/2015 22:00,Overcast,0,32.84,32.84,none
1/14/2015 23:00,Overcast,0,32.92,32.92,none
1/15/2015 0:00,Overcast,0,33.02,33.02,none
1/15/2015 1:00,Overcast,0,32.99,32.99,none
1/15/2015 2:00,Overcast,0,32.96,32.96,none
1/15/2015 3:00,Foggy,0,32.91,32.91,none
1/15/2015 4:00,Foggy,0,32.6,32.6,none
1/15/2015 5:00,Foggy,0,32.14,32.14,none
1/15/2015 6:00,Foggy,0,31.93,31.93,none
1/15/2015 7:00,Foggy,0,31.62,31.62,none
1/15/2015 8:00,Foggy,0,31.35,31.35,none
1/15/2015 9:00,Foggy,0,31.43,31.43,none
1/15/2015 10:00,Overcast,0,32.23,32.23,none
1/15/2015 11:00,Mostly Cloudy,0,33.85,33.85,none
1/15/2015 12:00,Partly Cloudy,0,37.24,37.24,none
1/15/2015 13:00,Mostly Cloudy,0,39.42,39.42,none
1/15/2015 14:00,Clear,0,40.61,40.61,none
1/15/2015 15:00,Clear,0,40.82,40.82,none
1/15/2015 16:00,Partly Cloudy,0,40.54,40.54,none
1/15/2015 17:00,Mostly Cloudy,0,39.66,39.66,none
1/15/2015 18:00,Mostly Cloudy,0,38.78,38.78,none
1/15/2015 19:00,Mostly Cloudy,0,38.21,38.21,none
1/15/2015 20:00,Mostly Cloudy,0,37.73,37.73,none
1/15/2015 21:00,Overcast,0,37.25,37.25,none
1/15/2015 22:00,Overcast,0,37.16,37.16,none
1/15/2015 23:00,Overcast,0,37.27,37.27,none
1/16/2015 0:00,Overcast,0,37.22,37.22,none
1/16/2015 1:00,Mostly Cloudy,0,36.87,36.87,none
1/16/2015 2:00,Mostly Cloudy,0,36.68,36.68,none
1/16/2015 3:00,Partly Cloudy,0,35.8,35.8,none
1/16/2015 4:00,Partly Cloudy,0,34.25,34.25,none
1/16/2015 5:00,Partly Cloudy,0,33.46,33.46,none
